Frequency,Flow Rate,kWh/BBL,norm_perc_from_BEP
39.0,6552.0,0.614,
40.0,7849.0,0.665,
42.0,8873.0,0.595,
46.0,10988.333,0.637,inf
47.0,8830.241,0.817,-2.654
48.0,9345.547,0.822,-2.781
49.0,10326.79,0.798,-2.219
50.0,10952.375,0.804,-1.752
51.0,11856.231,0.794,-1.641
52.0,12718.469,0.791,-1.624
53.0,13532.486,0.787,-0.924
54.0,15095.333,0.767,1.152
55.0,15156.667,0.796,-0.929
56.0,16995.0,0.776,1.045
57.0,16916.667,0.802,
