Frequency,Flow Rate,kWh/BBL,norm_perc_from_BEP
0.0,,,
45.0,10975.339,0.598,
46.0,10659.34,0.641,
48.0,11418.827,0.686,-5.13
49.0,12193.108,0.686,-2.213
50.0,10537.047,0.787,-12.017
51.0,12084.698,0.764,-2.741
52.0,11527.262,0.815,-3.02
53.0,13477.875,0.782,-2.928
54.0,13448.124,0.817,-45.87
55.0,14188.429,0.837,-9.879
56.0,14459.415,0.864,-6.958
57.0,15720.764,0.85,-7.247
58.0,16138.029,0.876,-13.256
59.0,16892.549,0.894,
60.0,18388.286,0.886,
