,Flow Rate,kWh/BBL,site_id
50.0,5414.174,0.932,1509 2 SWD
51.0,5650.141,0.957,1509 2 SWD
52.0,6068.924,0.956,1509 2 SWD
53.0,7434.57,0.873,1509 2 SWD
54.0,7824.09,0.884,1509 2 SWD
55.0,7769.551,0.939,1509 2 SWD
56.0,8280.105,0.939,1509 2 SWD
57.0,7411.818,1.049,1509 2 SWD
