,Flow Rate,kWh/BBL,site_id
48.0,6460.527,0.752,1509 1 SWD
49.0,6366.682,0.796,1509 1 SWD
50.0,7124.998,0.785,1509 1 SWD
51.0,7516.29,0.8,1509 1 SWD
52.0,8295.981,0.79,1509 1 SWD
53.0,9036.059,0.782,1509 1 SWD
54.0,9336.927,0.803,1509 1 SWD
55.0,9053.562,0.863,1509 1 SWD
56.0,10023.919,0.845,1509 1 SWD
57.0,9375.453,0.921,1509 1 SWD
